Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B358,,,,,,,,,,,,,,,,,,,,,
B359,,,,,,,,,,,,,,,,,,,,,
B360,,,,,,,,,,,,,,,,,,,,,
B361,,,,,,,,,,,,,,,,,,,,,
B362,,,,,,,,,,,,,,,,,,,,,
B363,,,,,,,,,,,,,,,,,,,,,
B364,,,,,,,,,,,,,,,,,,,,,
B365,,,,,,,,,,,,,,,,,,,,,
B366,,,,,,,,,,,,,,,,,,,,,
B367,,,,,,,,,,,,,,,,,,,,,
B368,,,,,,,,,,,,,,,,,,,,,
B369,,,,,,,,,,,,,,,,,,,,,
B370,,,,,,,,,,,,,,,,,,,,,
B371,,,,,,,,,,,,,,,,,,,,,
B372,,,,,,,,,,,,,,,,,,,,,
B373,,,,,,,,,,,,,,,,,,,,,
B374,,,,,,,,,,,,,,,,,,,,,
B375,,,,,,,,,,,,,,,,,,,,,
B376,,,,,,,,,,,,,,,,,,,,,
B377,,,,,,,,,,,,,,,,,,,,,
B378,,,,,,,,,,,,,,,,,,,,,
B379,,,,,,,,,,,,,,,,,,,,,
B380,,,,,,,,,,,,,,,,,,,,,
B381,,,,,,,,,,,,,,,,,,,,,
B382,,,,,,,,,,,,,,,,,,,,,
B383,,,,,,,,,,,,,,,,,,,,,
B384,,,,,,,,,,,,,,,,,,,,,
B385,,,,,,,,,,,,,,,,,,,,,
B386,,,,,,,,,,,,,,,,,,,,,
B387,,,,,,,,,,,,,,,,,,,,,
B388,,,,,,,,,,,,,,,,,,,,,
B389,,,,,,,,,,,,,,,,,,,,,
B390,,,,,,,,,,,,,,,,,,,,,
B391,,,,,,,,,,,,,,,,,,,,,
